 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  1.418230E-01  0.125153E+01  0.905158E-01
  1.420970E-01  0.109730E+01  0.886681E-01
  1.423700E-01  0.126562E+01  0.907030E-01
  1.426440E-01  0.126378E+01  0.932164E-01
  1.429170E-01  0.103789E+01  0.880524E-01
  1.431910E-01  0.118163E+01  0.874931E-01
  1.434640E-01  0.109996E+01  0.907114E-01
  1.437380E-01  0.108424E+01  0.882678E-01
  1.440110E-01  0.106347E+01  0.885243E-01
  1.442850E-01  0.112034E+01  0.878981E-01
  1.445580E-01  0.133306E+01  0.920684E-01
  1.448320E-01  0.119067E+01  0.915131E-01
  1.451050E-01  0.116754E+01  0.903411E-01
  1.453790E-01  0.121371E+01  0.894069E-01
  1.456520E-01  0.121998E+01  0.878246E-01
  1.459260E-01  0.108099E+01  0.885640E-01
  1.461990E-01  0.108344E+01  0.878177E-01
  1.464730E-01  0.104615E+01  0.907790E-01
  1.467470E-01  0.109049E+01  0.891118E-01
  1.470200E-01  0.930746E+00  0.892115E-01
  1.472940E-01  0.920845E+00  0.887989E-01
  1.475670E-01  0.113922E+01  0.917701E-01
  1.478410E-01  0.103308E+01  0.885164E-01
  1.481140E-01  0.987518E+00  0.881990E-01
  1.483880E-01  0.106772E+01  0.860730E-01
  1.486610E-01  0.930872E+00  0.879075E-01
  1.489350E-01  0.107944E+01  0.873569E-01
  1.492080E-01  0.117495E+01  0.879969E-01
  1.494820E-01  0.947707E+00  0.868189E-01
  1.497550E-01  0.935989E+00  0.857246E-01
  1.500290E-01  0.756178E+00  0.843255E-01
  1.503020E-01  0.995387E+00  0.861845E-01
  1.505760E-01  0.877221E+00  0.873033E-01
