Sample description: b1c
Sample: b1c  c= 1.0000 mg/ml  Code: b1c
Parent(s): b1c_avg481-496.dat b1c_avg400-430.dat
  1.614540e-01   3.484450e+00   2.049078e-01
  1.617580e-01   3.519430e+00   2.025516e-01
  1.620630e-01   3.533010e+00   2.030002e-01
  1.623680e-01   3.198280e+00   2.023190e-01
  1.626720e-01   3.300690e+00   2.024462e-01
  1.629770e-01   3.201810e+00   2.036998e-01
  1.632810e-01   3.007510e+00   2.005227e-01
  1.635860e-01   3.171580e+00   2.018899e-01
  1.638910e-01   3.239610e+00   2.028767e-01
  1.641950e-01   3.309370e+00   2.008270e-01
  1.645000e-01   3.315210e+00   2.021515e-01
  1.648050e-01   3.275560e+00   1.999785e-01
  1.651090e-01   3.191540e+00   2.013611e-01
  1.654140e-01   3.006270e+00   2.004929e-01
  1.657190e-01   2.939930e+00   1.994766e-01
  1.660230e-01   3.018610e+00   2.013100e-01
  1.663280e-01   2.770220e+00   1.994819e-01
  1.666320e-01   3.076560e+00   2.004527e-01
  1.669370e-01   2.710820e+00   1.981801e-01
  1.672420e-01   2.658180e+00   1.987485e-01
  1.675460e-01   2.975520e+00   1.993482e-01
  1.678510e-01   2.731840e+00   1.993637e-01
  1.681560e-01   2.957170e+00   1.981466e-01
  1.684600e-01   2.964610e+00   1.982443e-01
  1.687650e-01   2.685700e+00   1.989108e-01
