Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 1.5 mg/ml  Code: tmp
Parent(s): /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.j38453 /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.K38453
  1.948840e-01   2.164900e+00   6.662114e-02
  1.953760e-01   2.170000e+00   6.730906e-02
  1.958680e-01   2.048600e+00   6.663346e-02
  1.963600e-01   2.042900e+00   6.646707e-02
  1.968510e-01   2.073600e+00   6.724559e-02
  1.973430e-01   2.081800e+00   6.592691e-02
  1.978350e-01   2.112500e+00   6.672182e-02
  1.983270e-01   2.066400e+00   6.661471e-02
  1.988180e-01   2.127700e+00   6.698405e-02
  1.993100e-01   2.120100e+00   6.732302e-02
  1.998020e-01   2.068700e+00   6.595474e-02
  2.002930e-01   2.078800e+00   6.686706e-02
  2.007850e-01   2.200500e+00   6.601312e-02
  2.012770e-01   2.029600e+00   6.710504e-02
  2.017690e-01   2.117100e+00   6.652738e-02
  2.022600e-01   2.181900e+00   6.662387e-02
  2.027520e-01   2.078000e+00   6.661933e-02
  2.032440e-01   2.074200e+00   6.682872e-02
  2.037350e-01   2.103600e+00   6.625116e-02
  2.042270e-01   1.936100e+00   6.726820e-02
  2.047190e-01   2.120100e+00   6.854507e-02
  2.052110e-01   1.925100e+00   6.991851e-02
  2.057020e-01   1.974400e+00   6.829786e-02
  2.061940e-01   2.068200e+00   6.907284e-02
  2.066860e-01   2.165400e+00   6.724604e-02
  2.071770e-01   2.027300e+00   6.846685e-02
  2.076690e-01   2.034200e+00   6.568762e-02
  2.081610e-01   1.981400e+00   6.857829e-02
  2.086520e-01   2.040600e+00   6.636629e-02
  2.091440e-01   1.979800e+00   6.657102e-02
  2.096360e-01   1.992600e+00   6.911151e-02
  2.101270e-01   1.977000e+00   6.447869e-02
  2.106190e-01   2.201400e+00   6.480997e-02
  2.111110e-01   1.958300e+00   6.507600e-02
  2.116020e-01   2.060300e+00   6.504148e-02
  2.120940e-01   1.937900e+00   6.521427e-02
  2.125860e-01   1.949300e+00   6.357387e-02
  2.130770e-01   1.997200e+00   6.464064e-02
  2.135690e-01   1.981400e+00   6.449255e-02
  2.140600e-01   2.027500e+00   6.494920e-02
  2.145520e-01   1.864900e+00   6.435788e-02
  2.150440e-01   2.045300e+00   6.399619e-02
  2.155350e-01   1.957500e+00   6.483687e-02
  2.160270e-01   1.988000e+00   6.441542e-02
  2.165190e-01   1.892600e+00   6.473012e-02
  2.170100e-01   2.187600e+00   6.489350e-02
  2.175020e-01   2.036900e+00   6.484639e-02
  2.179930e-01   1.925300e+00   6.502155e-02
  2.184850e-01   2.000700e+00   6.361113e-02
  2.189770e-01   1.870100e+00   6.423799e-02
  2.194680e-01   1.896600e+00   6.415484e-02
  2.199600e-01   2.045200e+00   6.434145e-02
  2.204510e-01   1.943800e+00   6.529377e-02
  2.209430e-01   2.005300e+00   6.346132e-02
  2.214350e-01   1.870400e+00   6.395915e-02
  2.219260e-01   2.067100e+00   6.421589e-02
  2.224180e-01   1.898000e+00   6.415774e-02
  2.229090e-01   2.036000e+00   6.438631e-02
  2.234010e-01   1.935800e+00   6.356307e-02
  2.238930e-01   1.904600e+00   6.441870e-02
  2.243840e-01   1.990900e+00   6.387700e-02
  2.248760e-01   1.926700e+00   6.389246e-02
  2.253670e-01   1.953300e+00   6.424169e-02
  2.258590e-01   1.923700e+00   6.377624e-02
  2.263500e-01   1.923300e+00   6.421186e-02
  2.268420e-01   1.857800e+00   6.410766e-02
  2.273340e-01   1.865100e+00   6.380225e-02
  2.278250e-01   1.991900e+00   6.357889e-02
  2.283170e-01   1.914400e+00   6.330182e-02
  2.288080e-01   1.879400e+00   6.362542e-02
  2.293000e-01   1.913000e+00   6.305584e-02
  2.297910e-01   1.975600e+00   6.438547e-02
  2.302830e-01   1.907200e+00   6.297485e-02
  2.307740e-01   1.971300e+00   6.312502e-02
  2.312660e-01   1.881700e+00   6.304263e-02
  2.317570e-01   2.029200e+00   6.325966e-02
  2.322490e-01   1.858600e+00   6.344586e-02
  2.327400e-01   1.880900e+00   6.348285e-02
  2.332320e-01   1.873700e+00   6.269085e-02
  2.337230e-01   1.872000e+00   6.319490e-02
  2.342150e-01   1.881900e+00   6.358860e-02
  2.347060e-01   1.908600e+00   6.368447e-02
  2.351980e-01   1.885900e+00   6.258246e-02
  2.356890e-01   1.854700e+00   6.336457e-02
  2.361810e-01   1.972300e+00   6.267503e-02
  2.366720e-01   1.916900e+00   6.299260e-02
  2.371640e-01   1.926100e+00   6.188818e-02
  2.376550e-01   1.893200e+00   6.157467e-02
  2.381470e-01   1.848000e+00   6.195999e-02
  2.386380e-01   1.876200e+00   6.321559e-02
  2.391300e-01   1.770900e+00   6.586360e-02
  2.396210e-01   1.887600e+00   6.424871e-02
  2.401130e-01   1.923100e+00   6.565635e-02
  2.406040e-01   1.922700e+00   6.704076e-02
  2.410960e-01   1.822600e+00   6.691838e-02
  2.415870e-01   1.932800e+00   6.732897e-02
  2.420780e-01   1.808900e+00   6.698342e-02
  2.425700e-01   1.887800e+00   6.754465e-02
  2.430610e-01   1.892600e+00   6.868200e-02
  2.435530e-01   1.707300e+00   6.721169e-02
  2.440440e-01   1.775100e+00   6.954187e-02
  2.445360e-01   1.863700e+00   6.844903e-02
  2.450270e-01   1.839700e+00   6.969688e-02
  2.455180e-01   1.896800e+00   6.969022e-02
  2.460100e-01   1.813000e+00   6.951992e-02
  2.465010e-01   1.832400e+00   7.147492e-02
  2.469930e-01   1.803200e+00   7.089060e-02
  2.474840e-01   1.769800e+00   6.960457e-02
  2.479750e-01   1.834600e+00   6.687095e-02
  2.484670e-01   1.802400e+00   6.731567e-02
  2.489580e-01   1.817800e+00   6.715695e-02
  2.494500e-01   1.903600e+00   6.650685e-02
  2.499410e-01   1.773200e+00   6.678471e-02
  2.504320e-01   1.652200e+00   6.639759e-02
  2.509240e-01   1.902700e+00   6.600463e-02
  2.514150e-01   1.829500e+00   6.578276e-02
  2.519070e-01   1.931400e+00   6.516470e-02
  2.523980e-01   1.873300e+00   6.577199e-02
  2.528890e-01   1.789100e+00   6.561698e-02
  2.533810e-01   1.720900e+00   6.620528e-02
  2.538720e-01   1.793500e+00   6.467464e-02
  2.543630e-01   1.812800e+00   6.484019e-02
  2.548550e-01   1.824900e+00   6.477501e-02
  2.553460e-01   1.782100e+00   6.415262e-02
  2.558370e-01   1.810000e+00   6.478721e-02
  2.563290e-01   1.747200e+00   6.344016e-02
  2.568200e-01   1.841500e+00   6.464141e-02
  2.573110e-01   1.858500e+00   6.408317e-02
  2.578030e-01   1.685200e+00   6.459511e-02
  2.582940e-01   1.881500e+00   6.322509e-02
  2.587850e-01   1.748100e+00   6.414332e-02
  2.592770e-01   1.764300e+00   6.381879e-02
  2.597680e-01   1.713700e+00   6.374839e-02
  2.602590e-01   1.722800e+00   6.332340e-02
  2.607510e-01   1.745300e+00   6.327405e-02
  2.612420e-01   1.755700e+00   6.311823e-02
  2.617330e-01   1.718900e+00   6.416436e-02
  2.622250e-01   1.913100e+00   6.281668e-02
  2.627160e-01   1.760800e+00   6.422720e-02
  2.632070e-01   1.905400e+00   6.327043e-02
  2.636980e-01   1.769200e+00   6.287846e-02
  2.641900e-01   1.762400e+00   6.408679e-02
  2.646810e-01   1.753200e+00   6.239707e-02
  2.651720e-01   1.777900e+00   6.350956e-02
  2.656640e-01   1.681100e+00   6.278462e-02
  2.661550e-01   1.857400e+00   6.366417e-02
  2.666460e-01   1.793000e+00   6.334827e-02
  2.671370e-01   1.739500e+00   6.200308e-02
  2.676290e-01   1.759800e+00   6.196866e-02
  2.681200e-01   1.808900e+00   6.095176e-02
  2.686110e-01   1.751200e+00   6.180187e-02
  2.691020e-01   1.834900e+00   6.255859e-02
  2.695940e-01   1.779800e+00   6.202407e-02
  2.700850e-01   1.737500e+00   6.289663e-02
