Sample description: HtrASnrefolded
Sample: HtrASnrefolded  c= 1.16 mg/ml  Code: 
  1.367270e+00   1.953498e-04   3.920152e-05
  1.370020e+00   1.277863e-04   3.843698e-05
  1.372770e+00   1.389587e-04   3.861719e-05
  1.375520e+00   1.544399e-04   3.858253e-05
  1.378270e+00   1.013809e-04   3.831785e-05
  1.381020e+00   1.466290e-04   3.857943e-05
  1.383770e+00   1.657834e-04   3.850949e-05
  1.386520e+00   9.838316e-05   3.846932e-05
  1.389270e+00   1.439997e-04   3.844965e-05
  1.392020e+00   1.505356e-04   3.853438e-05
  1.394770e+00   1.361230e-04   3.865273e-05
  1.397520e+00   1.474189e-04   3.847389e-05
  1.400270e+00   1.337431e-04   3.837232e-05
  1.403020e+00   1.493819e-04   3.862691e-05
  1.405770e+00   1.220551e-04   3.830605e-05
  1.408520e+00   1.863930e-04   3.872505e-05
  1.411270e+00   1.508348e-04   3.859440e-05
  1.414020e+00   1.718739e-04   3.868543e-05
  1.416770e+00   1.301187e-04   3.819803e-05
  1.419520e+00   1.386776e-04   3.838758e-05
  1.422270e+00   1.277376e-04   3.813336e-05
  1.425020e+00   1.398642e-04   3.824185e-05
  1.427770e+00   1.448089e-04   3.838061e-05
  1.430520e+00   1.085230e-04   3.805285e-05
  1.433270e+00   1.254505e-04   3.829446e-05
  1.436020e+00   1.151599e-04   3.803429e-05
  1.438770e+00   1.701944e-04   3.816811e-05
  1.441520e+00   1.350781e-04   3.815004e-05
  1.444270e+00   1.534857e-04   3.819465e-05
  1.447020e+00   1.365209e-04   3.821967e-05
  1.449770e+00   1.304326e-04   3.815483e-05
  1.452520e+00   1.074544e-04   3.798166e-05
  1.455270e+00   1.460884e-04   3.828016e-05
  1.458010e+00   1.138905e-04   3.790275e-05
  1.460760e+00   9.763410e-05   3.802602e-05
  1.463510e+00   1.448010e-04   3.814147e-05
  1.466260e+00   6.522311e-05   3.757442e-05
  1.469010e+00   1.464103e-04   3.828784e-05
range-from: 1
range-to: 500
Parent(s): /home/hermsdorf/SAXS/2017Juni/data/HtrASnref/HtrASnrefTris8/HtrASnrefT1_Tris8_0071_sub.dat /home/hermsdorf/SAXS/2017Juni/data/HtrASnref/HtrASnrefTris8/HtrASnrefT5_Tris8_0083_sub.dat
